Site Occupation Location,Toponyms,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area
114,Villa Borghese,B,Early Imperial Period,8,-30,100,130,0.1
114,Villa Borghese,B,Mid-Imperial Period,9,100,250,150,0.1
115,Cerreto Regina Margherita,A,Early Iron Age,4,-800,-750,50,0.1
115,Cerreto Regina Margherita,A,Late Iron Age,5,-750,-600,150,0.1
116,,A,Early Iron Age,4,-800,-750,50,0.1
116,,A,Late Iron Age,5,-750,-600,150,0.1
117,Pantano Potassa,A,Early Iron Age,4,-800,-750,50,0.1
117,Pantano Potassa,A,Late Iron Age,5,-750,-600,150,0.1
118,Spinacceto,A,Late Iron Age,5,-600,-580,20,0.1
118,Spinacceto,A,Archaic Period,6,-580,-500,80,0.1
119,Campana,A,Middle Bronze Age,2,-1700,-1350,350,0.1
119,Campana,B,Early Imperial Period,8,-30,100,130,0.1
120,Campo Cerreto,A,Late Iron Age,5,-600,-580,20,0.1
120,Campo Cerreto,A,Archaic Period,6,-580,-500,80,0.1
121,Campana,A,Early Imperial Period,8,-30,100,130,0.1
121,Campana,A,Mid-Imperial Period,9,100,300,200,0.1
121,Campana,A,Late Imperial Period,10,300,400,100,0.1
122,Campana,A,Republican Period,7,-350,-100,250,1
123,Cadolino,A,Republican Period,7,-350,-30,320,0.2
123,Cadolino,A,Early Imperial Period,8,-30,100,130,0.2
123,Cadolino,A,Mid-Imperial Period,9,100,300,200,0.2
123,Cadolino,A,Late Imperial Period,10,300,400,100,0.2
124,I Cioccatti,A,Republican Period,7,-100,-30,70,0.1
124,I Cioccatti,A,Early Imperial Period,8,-30,100,130,0.1
124,I Cioccatti,A,Mid-Imperial Period,9,100,300,200,0.1
124,I Cioccatti,A,Late Imperial Period,10,300,400,100,0.1
125,I Cioccatti,A,Republican Period,7,-100,-30,70,0.1
125,I Cioccatti,A,Early Imperial Period,8,-30,100,130,0.1
125,I Cioccatti,A,Mid-Imperial Period,9,100,300,200,0.1
125,I Cioccatti,A,Late Imperial Period,10,300,400,100,0.1
126,I Cioccatti,A,Republican Period,7,-100,-30,70,0.1
126,I Cioccatti,A,Early Imperial Period,8,-30,100,130,0.1
126,I Cioccatti,A,Mid-Imperial Period,9,100,300,200,0.1
126,I Cioccatti,A,Late Imperial Period,10,300,400,100,0.1
127,I Cioccatti,A,Republican Period,7,-100,-30,70,0.1
127,I Cioccatti,A,Early Imperial Period,8,-30,100,130,0.1
127,I Cioccatti,A,Mid-Imperial Period,9,100,300,200,0.1
127,I Cioccatti,A,Late Imperial Period,10,300,400,100,0.1
128,I Cioccatti,A,Republican Period,7,-100,-30,70,0.1
128,I Cioccatti,A,Early Imperial Period,8,-30,100,130,0.1
128,I Cioccatti,A,Mid-Imperial Period,9,100,300,200,0.1
128,I Cioccatti,A,Late Imperial Period,10,300,400,100,0.1
129,I Cioccatti,A,Republican Period,7,-100,-30,70,0.1
129,I Cioccatti,A,Early Imperial Period,8,-30,100,130,0.1
129,I Cioccatti,A,Mid-Imperial Period,9,100,300,200,0.1
129,I Cioccatti,A,Late Imperial Period,10,300,400,100,0.1
130,Scopone,A,Late Iron Age,5,-700,-600,100,0.1
131,Scopone,A,Early Iron Age,4,-800,-750,50,0.01
131,Scopone,A,Late Iron Age,5,-750,-600,150,0.01
132,Zucchetti,A,Late Iron Age,5,-600,-580,20,0.40000001
132,Zucchetti,A,Archaic Period,6,-580,-350,230,0.40000001
132,Zucchetti,A,Republican Period,7,-350,-30,320,0.40000001
132,Zucchetti,A,Early Imperial Period,8,-30,100,130,0.40000001
132,Zucchetti,A,Mid-Imperial Period,9,100,250,150,0.40000001
133,Zucchetti,A,Early Iron Age,4,-800,-750,50,0.40000001
133,Zucchetti,A,Late Iron Age,5,-750,-600,150,0.40000001
133,Zucchetti,B,Republican Period,7,-100,-30,70,0.40000001
133,Zucchetti,B,Early Imperial Period,8,-30,100,130,0.40000001
133,Zucchetti,B,Mid-Imperial Period,9,100,250,150,0.40000001
133,Zucchetti,C,Late Imperial Period,10,400,500,100,0.40000001
134,,A,Early Iron Age,4,-800,-750,50,0.30000001
134,,A,Late Iron Age,5,-750,-580,170,0.30000001
134,,A,Archaic Period,6,-580,-350,230,0.30000001
134,,A,Republican Period,7,-350,-30,320,0.30000001
134,,A,Early Imperial Period,8,-30,100,130,0.30000001
135,Torre del Monumento,A,Republican Period,7,-100,-30,70,0.029999999
135,Torre del Monumento,A,Early Imperial Period,8,-30,100,130,0.029999999
135,Torre del Monumento,A,Mid-Imperial Period,9,100,250,150,0.029999999
136,Campana,A,Republican Period,7,-100,-30,70,0.1
136,Campana,A,Early Imperial Period,8,-30,100,130,0.1
136,Campana,A,Mid-Imperial Period,9,100,250,150,0.1
137,Campana,A,Early Iron Age,4,-800,-750,50,0.5
137,Campana,A,Late Iron Age,5,-750,-580,170,0.5
137,Campana,A,Archaic Period,6,-580,-500,80,0.5
137,Campana,B,Republican Period,7,-100,-30,70,0.5
137,Campana,B,Early Imperial Period,8,-30,100,130,0.5
137,Campana,B,Mid-Imperial Period,9,100,300,200,0.5
137,Campana,B,Late Imperial Period,10,300,500,200,0.5
138,Campana,A,Late Iron Age,5,-600,-580,20,0.2
138,Campana,A,Archaic Period,6,-580,-350,230,0.2
138,Campana,A,Republican Period,7,-350,-30,320,0.2
138,Campana,A,Early Imperial Period,8,-30,100,130,0.2
138,Campana,A,Mid-Imperial Period,9,100,250,150,0.2
139,Pelliccione,A,Middle Bronze Age,2,-1350,-1300,50,0.1
139,Pelliccione,A,Late Bronze Age,3,-1300,-1020,280,0.1
140,Depuratore,A,Early Iron Age,4,-800,-750,50,0.30000001
140,Depuratore,A,Late Iron Age,5,-750,-580,170,0.30000001
140,Depuratore,A,Archaic Period,6,-580,-500,80,0.30000001
140,Depuratore,B,Republican Period,7,-350,-30,320,0.30000001
141,Campana,A,Late Iron Age,5,-700,-600,100,0.02
141,Campana,B,Archaic Period,6,-500,-350,150,0.02
141,Campana,C,Early Imperial Period,8,-30,100,130,0.02
141,Campana,C,Mid-Imperial Period,9,100,250,150,0.02
142,Campana,A,Archaic Period,6,-500,-350,150,0.050000001
142,Campana,B,Republican Period,7,-100,-30,70,0.050000001
142,Campana,B,Early Imperial Period,8,-30,100,130,0.050000001
142,Campana,B,Mid-Imperial Period,9,100,250,150,0.050000001
143,Campana,A,Early Iron Age,4,-800,-750,50,0.1
143,Campana,B,Late Iron Age,5,-750,-580,170,0.1
143,Campana,B,Archaic Period,6,-580,-500,80,0.1
144,Campana,A,Republican Period,7,-100,-30,70,0.050000001
144,Campana,A,Early Imperial Period,8,-30,100,130,0.050000001
144,Campana,A,Mid-Imperial Period,9,100,250,150,0.050000001
145,Campana,A,Late Iron Age,5,-700,-580,120,0.5
145,Campana,A,Archaic Period,6,-580,-500,80,0.5
146,Piscina Cardillo,A,Early Iron Age,4,-800,-750,50,0.039999999
146,Piscina Cardillo,A,Late Iron Age,5,-750,-580,170,0.039999999
146,Piscina Cardillo,A,Archaic Period,6,-580,-500,80,0.039999999
147,Piscina Cardillo,A,Early Iron Age,4,-800,-750,50,0.1
147,Piscina Cardillo,A,Late Iron Age,5,-750,-580,170,0.1
147,Piscina Cardillo,A,Archaic Period,6,-580,-350,230,0.1
147,Piscina Cardillo,A,Republican Period,7,-350,-30,320,0.1
148,Rovito,A,Late Iron Age,5,-600,-580,20,0.1
148,Rovito,A,Archaic Period,6,-580,-500,80,0.1
148,Rovito,B,Republican Period,7,-350,-30,320,0.1
148,Rovito,B,Early Imperial Period,8,-30,100,130,0.1
148,Rovito,B,Mid-Imperial Period,9,100,250,150,0.1
149,Tre Cancelli,A,Early Iron Age,4,-800,-750,50,0.2
149,Tre Cancelli,A,Late Iron Age,5,-750,-600,150,0.2
150,Piscina Cardillo,A,Early Iron Age,4,-800,-750,50,0.2
150,Piscina Cardillo,A,Late Iron Age,5,-750,-700,50,0.2
151,Villa Verdiana/Scopone,A,Late Iron Age,5,-600,-580,20,0.1
151,Villa Verdiana/Scopone,A,Archaic Period,6,-580,-350,230,0.1
151,Villa Verdiana/Scopone,A,Republican Period,7,-350,-30,320,0.1
151,Villa Verdiana/Scopone,A,Early Imperial Period,8,-30,100,130,0.1
151,Villa Verdiana/Scopone,A,Mid-Imperial Period,9,100,250,150,0.1
152,Villa Borghese,A,Early Imperial Period,8,-30,100,130,0.1
153,Zucchetti,A,Late Iron Age,5,-700,-580,120,0.1
153,Zucchetti,A,Archaic Period,6,-580,-350,230,0.1
153,Zucchetti,A,Republican Period,7,-350,-30,320,0.1
153,Zucchetti,A,Early Imperial Period,8,-30,100,130,0.1
153,Zucchetti,A,Mid-Imperial Period,9,100,250,150,0.1
154,Nettuno,A,Early Imperial Period,8,-30,100,130,0.050000001
154,Nettuno,A,Mid-Imperial Period,9,100,250,150,0.050000001
155,Nettuno,A,Early Imperial Period,8,-30,100,130,0.029999999
155,Nettuno,A,Mid-Imperial Period,9,100,250,150,0.029999999
156,I Marmi,A,Republican Period,7,-100,-30,70,0.2
156,I Marmi,A,Early Imperial Period,8,-30,100,130,0.2
156,I Marmi,A,Mid-Imperial Period,9,100,250,150,0.2
157,Fosso Foglino,A,Early Bronze Age,1,-1750,-1700,50,0.1
157,Fosso Foglino,A,Middle Bronze Age,2,-1700,-1350,350,0.1
158,Le Grugnole,A,Middle Bronze Age,2,-1350,-1300,50,0.1
158,Le Grugnole,A,Late Bronze Age,3,-1300,-1020,280,0.1
159,Campana,A,Middle Bronze Age,2,-1700,-1300,400,0.1
159,Campana,A,Late Bronze Age,3,-1300,-1020,280,0.1
160,Bosco di Nettuno,A,Middle Bronze Age,2,-1700,-1300,400,0.1
160,Bosco di Nettuno,A,Late Bronze Age,3,-1300,-1020,280,0.1
161,Granieri,A,Middle Bronze Age,2,-1700,-1300,400,0.1
161,Granieri,A,Late Bronze Age,3,-1300,-1020,280,0.1
162,Sughereto,A,Middle Bronze Age,2,-1700,-1300,400,0.1
162,Sughereto,A,Late Bronze Age,3,-1300,-1020,280,0.1
163,,A,Late Iron Age,5,-600,-580,20,0.1
163,,A,Archaic Period,6,-580,-350,230,0.1
163,,A,Republican Period,7,-300,-30,270,0.1
164,Quarto del Cerrone,A,Late Iron Age,5,-600,-580,20,0.5
164,Quarto del Cerrone,A,Archaic Period,6,-580,-350,230,0.5
164,Quarto del Cerrone,B,Republican Period,7,-300,-30,270,0.5
165,Quarto del Cerrone,A,Late Iron Age,5,-600,-580,20,0.1
165,Quarto del Cerrone,A,Archaic Period,6,-580,-350,230,0.1
165,Quarto del Cerrone,A,Republican Period,7,-350,-30,320,0.1
165,Quarto del Cerrone,A,Early Imperial Period,8,-30,100,130,0.1
165,Quarto del Cerrone,A,Mid-Imperial Period,9,100,200,100,0.1
166,Quarto del Cerrone,A,Republican Period,7,-350,-30,320,0.02
166,Quarto del Cerrone,A,Early Imperial Period,8,-30,100,130,0.02
166,Quarto del Cerrone,A,Mid-Imperial Period,9,100,300,200,0.02
166,Quarto del Cerrone,A,Late Imperial Period,10,300,400,100,0.02
167,Quarto del Cerrone,A,Archaic Period,6,-500,-350,150,0.039999999
167,Quarto del Cerrone,A,Republican Period,7,-350,-30,320,0.039999999
168,Quarto del Cerrone,A,Late Iron Age,5,-600,-580,20,0.029999999
168,Quarto del Cerrone,A,Archaic Period,6,-580,-350,230,0.029999999
168,Quarto del Cerrone,A,Republican Period,7,-350,-30,320,0.029999999
169,Quarto delle Cinfonare,A,Late Iron Age,5,-600,-580,20,0.1
169,Quarto delle Cinfonare,A,Archaic Period,6,-580,-500,80,0.1
169,Quarto delle Cinfonare,B,Republican Period,7,-350,-30,320,0.1
169,Quarto delle Cinfonare,B,Early Imperial Period,8,-30,100,130,0.1
169,Quarto delle Cinfonare,B,Mid-Imperial Period,9,100,300,200,0.1
169,Quarto delle Cinfonare,B,Late Imperial Period,10,300,400,100,0.1
170,Quarto delle Cinfonare,A,Late Iron Age,5,-600,-580,20,0.80000001
170,Quarto delle Cinfonare,A,Archaic Period,6,-580,-350,230,0.80000001
170,Quarto delle Cinfonare,A,Republican Period,7,-350,-30,320,0.80000001
171,Casale Nuovo,A,Late Iron Age,5,-600,-580,20,0.44
171,Casale Nuovo,A,Archaic Period,6,-580,-500,80,0.44
172,,A,Late Iron Age,5,-600,-580,20,0.1
172,,A,Archaic Period,6,-580,-500,80,0.1
173,Quarto del Cerrone,A,Late Iron Age,5,-600,-580,20,0.1
173,Quarto del Cerrone,A,Archaic Period,6,-580,-500,80,0.1
174,Quarto del Cerrone,A,Archaic Period,6,-500,-350,150,0.1
174,Quarto del Cerrone,A,Republican Period,7,-350,-30,320,0.1
174,Quarto del Cerrone,A,Early Imperial Period,8,-30,100,130,0.1
175,Quarto del Cerrone,A,Republican Period,7,-350,-30,320,0.1
176,,A,Republican Period,7,-350,-30,320,0.1
177,,A,Late Iron Age,5,-600,-580,20,0.1
177,,A,Archaic Period,6,-580,-500,80,0.1
178,Spinacceto,A,Late Iron Age,5,-600,-580,20,0.1
178,Spinacceto,A,Archaic Period,6,-580,-500,80,0.1
178,Spinacceto,B,Republican Period,7,-350,-30,320,0.1
179,Fico Mancino,A,Archaic Period,6,-500,-350,150,0.1
179,Fico Mancino,A,Republican Period,7,-350,-30,320,0.1
180,Casale Nuovo,A,Archaic Period,6,-500,-350,150,0.1
180,Casale Nuovo,A,Republican Period,7,-350,-30,320,0.1
180,Casale Nuovo,A,Early Imperial Period,8,-30,100,130,0.1
180,Casale Nuovo,A,Mid-Imperial Period,9,100,250,150,0.1
181,Acciarella,A,Republican Period,7,-350,-30,320,0.1
182,,A,Archaic Period,6,-500,-350,150,0.1
182,,A,Republican Period,7,-350,-30,320,0.1
183,,A,Archaic Period,6,-500,-350,150,0.1
184,,A,Archaic Period,6,-500,-350,150,0.1
184,,A,Republican Period,7,-350,-30,320,0.1
184,,A,Early Imperial Period,8,-30,100,130,0.1
184,,A,Mid-Imperial Period,9,100,200,100,0.1
185,Colle Falcone,A,Republican Period,7,-200,-30,170,0.30000001
185,Colle Falcone,A,Early Imperial Period,8,-30,100,130,0.30000001
185,Colle Falcone,A,Mid-Imperial Period,9,100,200,100,0.30000001
186,Colle del Pero,A,Republican Period,7,-350,-200,150,0.1
186,,A,Early Imperial Period,8,-30,100,130,0.2
186,,A,Mid-Imperial Period,9,100,250,150,0.2
187,Colle del Pero,A,Republican Period,7,-350,-30,320,0.2
187,Colle del Pero,A,Early Imperial Period,8,-30,100,130,0.2
187,Colle del Pero,A,Mid-Imperial Period,9,100,250,150,0.2
188,Colle del Pero,A,Late Iron Age,5,-600,-580,20,0.1
188,Colle del Pero,A,Archaic Period,6,-580,-350,230,0.1
188,Colle del Pero,A,Republican Period,7,-350,-30,320,0.1
189,,A,Republican Period,7,-350,-30,320,0.2
189,,A,Early Imperial Period,8,-30,100,130,0.2
189,,A,Mid-Imperial Period,9,100,250,150,0.2
190,I Norcini,A,Republican Period,7,-350,-30,320,0.1
190,I Norcini,A,Early Imperial Period,8,-30,100,130,0.1
190,I Norcini,A,Mid-Imperial Period,9,100,250,150,0.1
191,S. Antonio,A,Archaic Period,6,-500,-350,150,0.1
191,S. Antonio,A,Republican Period,7,-350,-30,320,0.1
191,S. Antonio,A,Early Imperial Period,8,-30,100,130,0.1
192,,A,Archaic Period,6,-500,-350,150,0.1
192,,A,Republican Period,7,-350,-30,320,0.1
192,,A,Early Imperial Period,8,-30,100,130,0.1
192,,A,Mid-Imperial Period,9,100,250,150,0.1
193,Canneto di Rodi,A,Archaic Period,6,-500,-350,150,0.1
193,Canneto di Rodi,A,Republican Period,7,-350,-30,320,0.1
193,Canneto di Rodi,A,Early Imperial Period,8,-30,100,130,0.1
194,Canneto di Rodi,A,Late Iron Age,5,-600,-580,20,0.1
194,Canneto di Rodi,A,Archaic Period,6,-580,-350,230,0.1
194,Canneto di Rodi,A,Republican Period,7,-350,-30,320,0.1
194,,A,Early Imperial Period,8,-30,100,130,0.1
194,,A,Mid-Imperial Period,9,100,250,150,0.1
195,Canneto di Rodi,A,Archaic Period,6,-500,-350,150,0.1
195,Canneto di Rodi,A,Republican Period,7,-350,-30,320,0.1
195,Canneto di Rodi,A,Early Imperial Period,8,-30,100,130,0.1
195,Canneto di Rodi,A,Mid-Imperial Period,9,100,250,150,0.1
196,,A,Archaic Period,6,-500,-350,150,0.1
196,,A,Republican Period,7,-350,-30,320,0.1
197,,A,Archaic Period,6,-500,-350,150,0.1
197,,A,Republican Period,7,-350,-30,320,0.1
197,,A,Early Imperial Period,8,-30,100,130,0.1
198,,A,Republican Period,7,-350,-30,320,0.1
198,,A,Early Imperial Period,8,-30,100,130,0.1
198,,A,Mid-Imperial Period,9,100,300,200,0.1
198,,A,Late Imperial Period,10,300,400,100,0.1
199,Castelverde,A,Late Iron Age,5,-600,-580,20,0.1
199,Castelverde,A,Archaic Period,6,-580,-350,230,0.1
200,,A,Late Iron Age,5,-600,-580,20,0.1
200,,A,Archaic Period,6,-580,-350,230,0.1
200,,A,Republican Period,7,-350,-30,320,0.1
201,,A,Archaic Period,6,-500,-350,150,0.1
201,,B,Republican Period,7,-350,-30,320,0.1
202,,A,Archaic Period,6,-500,-350,150,0.1
202,,A,Republican Period,7,-350,-30,320,0.1
203,Moscarello,A,Archaic Period,6,-500,-350,150,0.1
203,Moscarello,A,Republican Period,7,-350,-30,320,0.1
204,Macchia Grande,A,Archaic Period,6,-500,-350,150,0.1
204,Macchia Grande,A,Republican Period,7,-350,-30,320,0.1
205,,A,Archaic Period,6,-500,-350,150,0.1
205,,A,Republican Period,7,-350,-30,320,0.1
205,,A,Early Imperial Period,8,-30,100,130,0.1
205,,A,Mid-Imperial Period,9,100,250,150,0.1
206,Macchia Grande,A,Archaic Period,6,-500,-350,150,0.1
206,Macchia Grande,A,Republican Period,7,-350,-30,320,0.1
206,Macchia Grande,A,Early Imperial Period,8,-30,100,130,0.1
207,,A,Archaic Period,6,-500,-350,150,0.1
207,,A,Republican Period,7,-350,-30,320,0.1
207,,A,Early Imperial Period,8,-30,100,130,0.1
208,,A,Archaic Period,6,-500,-350,150,0.1
208,,B,Republican Period,7,-200,-30,170,0.1
208,,B,Early Imperial Period,8,-30,100,130,0.1
209,,A,Late Iron Age,5,-600,-580,20,0.1
209,,A,Archaic Period,6,-580,-350,230,0.1
209,,A,Republican Period,7,-350,-30,320,0.1
210,,A,Late Iron Age,5,-600,-580,20,0.1
210,,A,Archaic Period,6,-580,-350,230,0.1
210,,A,Republican Period,7,-350,-30,320,0.1
211,,A,Mid-Imperial Period,9,100,250,150,0.1
212,Borgo Sabotino,A,Archaic Period,6,-500,-350,150,0.1
212,Borgo Sabotino,A,Republican Period,7,-350,-30,320,0.1
212,Borgo Sabotino,A,Early Imperial Period,8,-30,100,130,0.1
213,,A,Late Iron Age,5,-600,-580,20,0.1
213,,A,Archaic Period,6,-580,-500,80,0.1
213,,B,Early Imperial Period,8,-30,100,130,0.1
214,,A,Early Imperial Period,8,-30,100,130,0.1
215,La Fibbia,A,Archaic Period,6,-500,-350,150,0.1
215,La Fibbia,A,Republican Period,7,-350,-30,320,0.1
216,La Fibbia,A,Late Iron Age,5,-600,-580,20,0.1
216,La Fibbia,A,Archaic Period,6,-580,-500,80,0.1
217,,A,Archaic Period,6,-500,-350,150,0.1
217,,A,Republican Period,7,-350,-30,320,0.1
218,Cannucceto,A,Republican Period,7,-350,-30,320,0.1
218,Cannucceto,A,Early Imperial Period,8,-30,100,130,0.1
218,Cannucceto,A,Mid-Imperial Period,9,100,250,150,0.1
219,Antium,A,Early Iron Age,4,-1020,-750,270,26
219,Antium,A,Late Iron Age,5,-750,-580,170,26
219,Antium,A,Archaic Period,6,-580,-350,230,15
219,Antium,A,Republican Period,7,-350,-30,320,15
219,Antium,A,Early Imperial Period,8,-30,100,130,55
219,Antium,A,Mid-Imperial Period,9,100,300,200,55
219,Antium,A,Late Imperial Period,10,300,400,100,55
220,Borgo le Ferriere (Satricum),A,Late Iron Age,5,-700,-580,120,35
220,Borgo le Ferriere (Satricum),A,Archaic Period,6,-580,-350,230,20
220,Borgo le Ferriere (Satricum),A,Republican Period,7,-350,-30,320,8
220,Borgo le Ferriere (Satricum),A,Early Imperial Period,8,-30,100,130,3
220,Borgo le Ferriere (Satricum),A,Mid-Imperial Period,9,100,300,200,3
220,Borgo le Ferriere (Satricum),A,Late Imperial Period,10,300,500,200,3
220,Borgo le Ferriere (Satricum),A,Late Antique Period,11,500,700,200,3
221,Casale,A,Archaic Period,6,-500,-350,150,0.1
221,Casale,A,Republican Period,7,-350,-30,320,0.1
221,Casale,A,Early Imperial Period,8,-30,100,130,0.1
222,Costa Casale,A,Late Iron Age,5,-600,-580,20,0.1
222,Costa Casale,A,Archaic Period,6,-580,-350,230,0.1
222,Costa Casale,A,Republican Period,7,-350,-30,320,0.1
223,,A,Late Iron Age,5,-600,-580,20,0.2
223,,A,Archaic Period,6,-580,-350,230,0.2
223,,A,Republican Period,7,-350,-30,320,0.2
224,,A,Early Iron Age,4,-1020,-750,270,0.1
224,,A,Late Iron Age,5,-750,-580,170,0.1
224,,A,Archaic Period,6,-580,-500,80,0.1
225,,A,Late Iron Age,5,-600,-580,20,0.1
225,,A,Archaic Period,6,-580,-350,230,0.1
225,,A,Republican Period,7,-350,-30,320,0.1
226,Pezze di Ninfa,A,Late Iron Age,5,-600,-580,20,0.1
226,Pezze di Ninfa,A,Archaic Period,6,-580,-350,230,0.1
226,Pezze di Ninfa,A,Republican Period,7,-350,-30,320,0.1
226,Pezze di Ninfa,A,Early Imperial Period,8,-30,100,130,0.1
226,Pezze di Ninfa,A,Mid-Imperial Period,9,100,200,100,0.1
227,Fossateglio,A,Late Iron Age,5,-600,-580,20,0.02
227,Fossateglio,A,Archaic Period,6,-580,-350,230,0.02
227,Fossateglio,A,Republican Period,7,-350,-30,320,0.02
228,,A,Late Iron Age,5,-600,-580,20,0.1
228,,A,Archaic Period,6,-580,-350,230,0.1
229,Pezze di Ninfa,A,Late Iron Age,5,-600,-580,20,0.2
229,Pezze di Ninfa,A,Archaic Period,6,-580,-350,230,0.2
229,Pezze di Ninfa,A,Republican Period,7,-350,-30,320,0.2
230,Pezze di Ninfa,A,Late Iron Age,5,-600,-580,20,0.15000001
230,Pezze di Ninfa,A,Archaic Period,6,-580,-500,80,0.15000001
231,,A,Late Iron Age,5,-600,-580,20,4
231,,A,Archaic Period,6,-580,-350,230,4
231,,A,Republican Period,7,-350,-30,320,4
231,,A,Early Imperial Period,8,-30,100,130,4
231,,A,Mid-Imperial Period,9,100,250,150,4
232,Pezze di Ninfa,A,Late Iron Age,5,-600,-580,20,0.1
232,Pezze di Ninfa,A,Archaic Period,6,-580,-350,230,0.1
232,Pezze di Ninfa,A,Republican Period,7,-350,-30,320,0.1
232,Pezze di Ninfa,A,Early Imperial Period,8,-30,100,130,0.1
232,Pezze di Ninfa,A,Mid-Imperial Period,9,100,200,100,0.1
233,,A,Late Iron Age,5,-600,-580,20,0.12
233,,A,Archaic Period,6,-580,-350,230,0.12
233,,A,Republican Period,7,-350,-30,320,0.12
233,,A,Early Imperial Period,8,30,100,70,0.12
234,,A,Early Iron Age,4,-1020,-750,270,0.050000001
234,,A,Late Iron Age,5,-750,-600,150,0.050000001
235,,A,Late Iron Age,5,-600,-580,20,0.1
235,,A,Archaic Period,6,-580,-350,230,0.1
235,,A,Republican Period,7,-350,-30,320,0.1
235,,A,Early Imperial Period,8,-30,100,130,0.1
236,,A,Late Iron Age,5,-600,-580,20,0.1
236,,A,Archaic Period,6,-580,-500,80,0.1
238,,A,Late Iron Age,5,-600,-580,20,0.12
238,,A,Archaic Period,6,-580,-350,230,0.12
238,,A,Republican Period,7,-350,-30,320,0.12
238,,A,Early Imperial Period,8,-30,100,130,0.12
239,,A,Late Iron Age,5,-600,-580,20,0.1
239,,A,Archaic Period,6,-580,-500,80,0.1
